,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
224,Longyearbyen,20,SJ,1583046854,59,78.22,15.64,256.15,4.1
225,Savannah Bight,100,HN,1583046855,76,16.45,-85.85,297.35,10.8
226,Upernavik,80,GL,1583046855,88,72.79,-56.15,241.01,1.4
227,Ancud,0,CL,1583046855,77,-41.87,-73.82,288.15,5.1
228,Redlands,90,US,1583046656,66,34.06,-117.18,287.59,1.5
229,Ternate,74,ID,1583046856,86,0.8,127.4,300.9,1.74
230,Port Macquarie,13,AU,1583046856,61,-31.43,152.92,302.04,7.7
231,Ilo,82,PE,1583046856,87,-17.64,-71.34,295.7,0.67
232,Charagua,9,BO,1583046665,42,-19.8,-63.22,295.87,2.76
233,Rāwah,0,IQ,1583046857,49,34.48,41.91,285.88,7.18
234,Tilichiki,0,RU,1583046857,86,60.47,166.1,254.1,3.68
235,Rocha,26,UY,1583046857,96,-34.48,-54.33,290.29,2.8
236,Naze,75,JP,1583046857,93,28.37,129.48,293.15,4.6
237,Yellowknife,20,CA,1583046848,74,62.46,-114.35,245.37,2.6
238,Caicó,55,BR,1583046769,82,-6.46,-37.1,298.31,2.38
239,Tasiilaq,100,GL,1583046858,92,65.61,-37.64,264.15,0.5
240,Xingyi,0,CN,1583046858,26,24.19,102.82,297.08,5.46
241,Grindavik,100,IS,1583046858,64,63.84,-22.43,275.15,9.8
242,Nāttarasankottai,100,IN,1583046859,41,9.87,78.57,303.95,4.22
243,São João da Barra,100,BR,1583046673,93,-21.64,-41.05,296.51,0.68
244,Kiunga,100,PG,1583046859,64,-6.12,141.29,303.19,0.83
245,Manoel Urbano,97,BR,1583046859,97,-8.84,-69.26,294.8,0.73
246,Wakkanai,75,JP,1583046859,73,45.41,141.67,268.15,8.2
247,Kodinsk,92,RU,1583046860,87,58.69,99.18,264.89,2.63
248,Yulara,100,AU,1583046860,28,-25.24,130.99,308.15,7.2
249,Tadine,94,NC,1583046860,82,-21.55,167.88,300.17,4.24
250,Springbok,2,ZA,1583046860,41,-29.66,17.89,297.15,2.6
251,Bosconia,2,CO,1583046860,61,9.97,-73.88,297.97,1.49
252,Porangatu,100,BR,1583046861,97,-13.44,-49.15,295.12,1.44
253,Norsup,75,VU,1583046861,83,-16.07,167.38,302.15,2.1
254,Khatanga,89,RU,1583046861,93,71.97,102.5,256.64,5.54
255,Chui,0,UY,1583046861,88,-33.7,-53.46,291.78,1.97
256,East London,0,ZA,1583046745,64,-33.02,27.91,296.15,4.6
257,Cayenne,20,GF,1583046862,83,4.93,-52.33,298.15,2.6
258,Manado,75,ID,1583046862,100,1.49,124.85,298.15,2.1
259,Vao,78,NC,1583046862,84,-22.67,167.48,300.0,6.06
260,Erie,90,US,1583046862,73,42.77,-78.67,268.71,3.6
261,Arraial do Cabo,95,BR,1583046863,92,-22.97,-42.03,296.59,5.46
262,Vredendal,54,ZA,1583046863,53,-31.67,18.5,296.98,2.08
263,Mitú,57,CO,1583046794,96,1.2,-70.17,295.12,0.83
264,Penzance,95,GB,1583046863,75,50.12,-5.54,280.37,7.7
265,Umm Kaddadah,22,SD,1583046864,14,13.6,26.69,293.96,9.93
266,Matagami,1,CA,1583046864,82,49.75,-77.63,246.15,0.97
267,Severo-Kuril'sk,96,RU,1583046864,89,50.68,156.12,268.76,0.72
268,Dunedin,15,NZ,1583046782,77,-45.87,170.5,288.71,8.03
269,Laguna de Duero,90,ES,1583046864,93,41.58,-4.72,280.93,8.7
270,Namatanai,79,PG,1583046865,69,-3.67,152.43,303.0,2.94
271,Roald,75,NO,1583046865,74,62.58,6.13,275.15,8.7
272,Amurzet,97,RU,1583046865,85,47.7,131.1,267.28,1.86
273,Dikson,100,RU,1583046865,78,73.51,80.55,262.28,13.08
274,Blyth,75,GB,1583046866,93,55.13,-1.51,278.15,9.3
275,Vestmanna,100,FO,1583046866,80,62.16,-7.17,277.15,11.8
276,North Bend,1,US,1583046866,100,43.41,-124.22,277.15,0.89
277,Ketchikan,90,US,1583046866,90,55.34,-131.65,277.15,0.56
278,Serenje,97,ZM,1583046867,88,-13.23,30.24,291.27,3.04
279,Balkanabat,31,TM,1583046867,45,39.51,54.37,285.64,1.47
280,Kruisfontein,0,ZA,1583046867,74,-34.0,24.73,291.48,2.91
281,Cidreira,0,BR,1583046665,75,-30.18,-50.21,295.87,7.07
282,Ust-Maya,0,RU,1583046868,89,60.42,134.53,261.14,1.38
283,Lerwick,84,GB,1583046868,75,60.15,-1.15,279.15,14.4
284,Henties Bay,100,NA,1583046868,82,-22.12,14.28,292.52,1.2
285,Buchanan,55,LR,1583046868,97,5.88,-10.05,297.48,1.11
286,Sarangani,57,PH,1583046869,77,5.4,125.46,300.98,11.84
287,Alvorada,100,BR,1583046869,95,-12.48,-49.12,296.22,0.78
288,Chokwé,40,MZ,1583046869,72,-24.53,32.98,295.04,4.07
289,Kalabo,100,ZM,1583046869,93,-14.97,22.68,293.01,1.39
290,Sun Prairie,1,US,1583046870,79,43.18,-89.21,272.59,2.1
291,Maceió,23,BR,1583046829,88,-9.67,-35.74,298.15,1.0
292,Sept-Îles,40,CA,1583046748,84,50.2,-66.38,257.15,2.1
293,Hohhot,20,CN,1583046870,16,40.81,111.65,276.15,6.0
294,Kirakira,52,SB,1583046870,75,-10.45,161.92,301.54,2.09
295,Tsimmerbude,40,RU,1583046871,93,54.67,20.13,278.15,4.0
296,Kidal,0,ML,1583046871,11,18.44,1.41,293.23,4.84
297,Ucluelet,0,CA,1583046663,92,48.93,-125.55,274.26,1.85
298,São José da Coroa Grande,41,BR,1583046871,75,-8.9,-35.15,300.8,4.29
299,Saint-Paul,20,RE,1583046872,74,-21.01,55.27,303.15,4.1
300,Manavālakurichi,20,IN,1583046872,55,8.13,77.3,304.15,3.1
301,Okhotsk,12,RU,1583046872,80,59.38,143.3,264.65,3.13
302,Flinders,59,AU,1583046872,58,-34.58,150.86,303.71,6.2
303,Lodja,88,CD,1583046873,92,-3.48,23.43,296.45,0.59
304,Sitka,90,US,1583046873,80,57.05,-135.33,275.15,4.1
305,Mpika,100,ZM,1583046873,98,-11.83,31.45,290.06,3.67
306,Nelson,80,NZ,1583046873,56,-41.28,173.28,293.71,1.93
307,Srednekolymsk,0,RU,1583046874,82,67.45,153.68,259.93,2.25
308,Pochutla,0,MX,1583046874,79,15.74,-96.47,300.49,6.96
309,Tarko-Sale,100,RU,1583046874,82,64.92,77.78,273.15,1.79
310,Grand Gaube,75,MU,1583046874,83,-20.01,57.66,302.15,3.6
311,Buckeye,1,US,1583046658,54,33.37,-112.58,289.82,2.1
312,Cairns,27,AU,1583046875,55,-16.92,145.77,306.15,4.6
313,Bolshoy Lug,40,RU,1583046875,67,52.08,104.09,268.15,9.0
314,Xiaolingwei,90,CN,1583046875,93,32.03,118.85,282.59,4.0
315,Berlevåg,100,NO,1583046875,69,70.86,29.09,271.51,6.19
316,Marolambo,37,MG,1583046876,70,-20.05,48.12,296.83,1.35
317,Kyzyl-Suu,0,KG,1583046876,82,42.34,78.0,275.18,2.09
318,Menongue,83,AO,1583046876,81,-14.66,17.69,288.39,1.82
319,Erenhot,0,CN,1583046876,60,43.65,111.98,270.12,4.79
320,Río Gallegos,100,AR,1583046877,71,-51.62,-69.22,286.15,3.6
321,Progreso,5,MX,1583046877,63,21.28,-89.67,291.15,5.1
322,Marsh Harbour,1,BS,1583046877,58,26.54,-77.06,291.29,8.92
323,Nelson Bay,7,AU,1583046877,58,-32.72,152.15,302.15,6.2
324,Grand-Santi,7,GF,1583046878,94,4.25,-54.38,293.86,1.03
325,Faya,5,SA,1583046878,42,18.39,42.45,291.15,5.1
326,Sorong,67,ID,1583046878,93,-0.88,131.25,301.44,2.0
327,Poceirão,75,PT,1583046878,93,38.83,-8.79,288.71,5.1
328,Clovis,90,US,1583046684,54,36.83,-119.7,287.15,8.7
329,Abu Dhabi,0,AE,1583046673,68,24.47,54.37,296.48,2.6
330,Truro,86,GB,1583046879,75,50.27,-5.05,279.15,7.7
331,Gura Caliţei,75,RO,1583046879,68,45.58,27.02,273.15,2.6
332,Karasjok,100,NO,1583046880,85,69.47,25.51,261.15,4.1
333,Feijó,54,BR,1583046880,94,-8.16,-70.35,295.96,0.42
334,Bathsheba,40,BB,1583046880,73,13.22,-59.52,298.15,6.2
335,Kut Chap,40,TH,1583046880,32,17.43,102.57,308.15,2.64
336,Flin Flon,100,CA,1583046880,93,54.77,-101.86,267.78,4.73
337,Katsuura,75,JP,1583046881,51,35.13,140.3,289.82,3.1
338,Marzuq,37,YE,1583046881,30,14.4,46.47,299.45,1.67
339,Zavallya,98,UA,1583046881,69,48.21,30.02,276.66,7.14
340,Baní,58,DO,1583046881,84,18.28,-70.33,297.04,1.79
341,Falkensee,39,DE,1583046882,75,52.57,13.08,279.82,5.1
342,Gōtsuchō,75,JP,1583046882,66,35.0,132.22,286.15,3.6
343,Torbay,5,CA,1583046882,72,47.67,-52.73,265.93,3.1
344,Mount Vernon,1,US,1583046882,53,40.91,-73.84,270.37,5.44
345,Methóni,55,GR,1583046883,75,36.82,21.7,285.37,2.6
346,Terenos,0,BR,1583046883,73,-20.44,-54.86,294.15,2.6
347,Kasongo-Lunda,100,CD,1583046883,96,-6.47,16.82,293.1,0.53
348,Mahébourg,75,MU,1583046883,83,-20.41,57.7,302.15,3.6
349,Pringsewu,97,ID,1583046884,87,-5.36,104.97,301.07,1.15
350,Olafsvik,100,IS,1583046884,67,64.89,-23.71,273.64,9.2
351,Ilulissat,5,GL,1583046884,51,69.22,-51.1,246.15,1.0
352,Saquarema,90,BR,1583046884,94,-22.92,-42.51,296.15,7.7
353,Shahrud,0,IR,1583046884,53,36.42,54.98,281.3,1.47
354,Touros,75,BR,1583046885,94,-5.2,-35.46,298.15,1.5
355,Xinpu,100,CN,1583046885,62,34.6,119.16,283.19,4.07
356,Belozërskoye,100,RU,1583046885,95,55.82,65.58,268.4,3.57
357,Padilla,75,CO,1583046885,83,3.22,-76.31,295.15,1.0
358,Lhokseumawe,99,ID,1583046886,77,5.18,97.15,299.21,1.35
359,Valday,99,RU,1583046886,87,57.97,33.25,271.73,4.76
360,Petropavlovka,100,RU,1583046886,87,50.61,105.32,266.03,1.46
361,Kota Bharu,20,MY,1583046886,58,6.13,102.24,304.15,4.6
362,Chastyye,85,RU,1583046887,85,57.29,54.97,270.08,5.94
363,Evensk,0,RU,1583046887,70,61.95,159.23,259.43,3.81
364,Moen,100,NO,1583046887,84,69.13,18.61,264.15,5.7
365,Kulhudhuffushi,50,MV,1583046887,73,6.62,73.07,301.25,4.11
366,Bikaner,0,IN,1583046887,36,28.02,73.3,298.49,3.14
367,Jalu,0,LY,1583046888,72,29.03,21.55,286.23,1.07
368,Daru,100,PG,1583046888,86,-9.08,143.21,302.07,1.69
369,Miyako,64,JP,1583046888,57,39.64,141.95,280.41,3.23
370,Zăvoaia,75,RO,1583046888,71,44.95,27.48,273.15,2.6
371,Ekuvukeni,20,ZA,1583046889,74,-28.47,30.16,289.87,0.71
372,Aklavik,5,CA,1583046889,75,68.22,-135.01,245.15,3.1
373,Bandar,96,ID,1583046889,54,2.05,99.75,305.57,1.23
